WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
8.67	1.62	8.35	0.16	0.97	2.22	0.247	0.187
7.41	2.02	9.49	0.27	0.9	1.94	0.261	0.19
6.98	3.48	8.77	0.21	0.98	2.02	0.243	0.18
6.4	2.31	8.09	0.25	0.85	1.11	0.257	0.2
5.54	3.41	7.39	0.28	0.97	2.83	0.333	0.281
5.27	4.33	8.43	0.39	1.14	3.51	0.333	0.26
4.22	2.26	8.23	0.73	1.48	3.18	0.246	0.201
4.05	4.77	9.06	0.33	1.21	3.26	0.227	0.169
3.71	4.48	7.83	0.6	1.36	3.66	0.297	0.239
3.14	3.99	4.67	0.23	1.39	3.98	0.281	0.246
3.14	3.99	4.67	0.23	1.39	3.98	0.281	0.246
3.14	3.99	4.67	0.23	1.39	3.98	0.281	0.246
3.03	7.08	9.06	0.19	1.21	3.45	0.28	0.203
2.95	2.22	3.05	0.41	1.06	3.21	0.244	0.234
2.92	2.38	3.99	0.63	1.3	4.14	0.253	0.237
2.85	2.11	7.27	0.84	1.37	3.48	0.313	0.264
2.75	3.45	4.21	0.67	1.34	3.68	0.24	0.227
2.64	3.1	4.91	0.43	1.24	3.45	0.273	0.246
2.54	2.85	4.73	0.52	1.33	3.29	0.296	0.27
2.35	2.1	4.43	0.66	1.38	5.8	0.307	0.282
2.3	2.61	2.83	0.22	1.3	3.29	0.313	0.295
2.25	2.27	3.97	0.5	1.13	3.23	0.279	0.257
2.25	2.27	3.97	0.5	1.13	3.23	0.279	0.257
2.25	2.27	3.97	0.5	1.13	3.23	0.279	0.257
2.15	3.22	3.22	0.61	1.35	3.12	0.252	0.245
2.08	2.8	3.67	0.58	1.34	3.12	0.292	0.277
2.06	3.48	5.48	0.46	1.6	4.11	0.249	0.219
2.03	4.44	6.44	0.56	1.45	2.7	0.285	0.245
1.98	2.99	5.91	0.77	1.2	3.26	0.314	0.278
1.58	2.57	3.43	0.43	1.47	4.18	0.264	0.25
1.53	3.43	2.87	0.31	1.25	3.27	0.275	0.26
1.47	5.12	5.82	0.54	1.4	3.68	0.294	0.258
1.32	2.89	4.73	0.46	1.12	2.95	0.332	0.299
1.08	2.7	4.24	0.96	1.39	4.14	0.3	0.286
1.08	2.7	4.24	0.96	1.39	4.14	0.3	0.286
1.08	2.7	4.24	0.96	1.39	4.14	0.3	0.286
0.9	3.36	6.1	0.61	1.53	3.79	0.33	0.287
0.89	3.23	2.3	0.54	1.39	4.44	0.282	0.277
0.88	5.05	5.47	0.6	1.16	4.95	0.323	0.286
0.77	4.27	5.31	0.92	1.52	4.76	0.273	0.25
0.73	4.75	5.12	0.59	1.54	5.32	0.24	0.218
0.67	4.5	7.27	1.04	1.3	4.92	0.25	0.221
0.59	5.56	5.12	0.71	1.4	3.39	0.258	0.237
0.58	2.9	4.46	0.89	1.51	3.85	0.328	0.307
0.58	3.55	5.11	0.96	1.49	4.22	0.308	0.286
0.57	5.62	5.18	0.65	1.49	3.96	0.246	0.225
0.57	5.62	5.18	0.65	1.49	3.96	0.246	0.225
0.57	5.62	5.18	0.65	1.49	3.96	0.246	0.225
0.52	7.38	5.91	0.42	1.76	6.31	0.29	0.248
0.52	3.81	4.33	0.87	1.31	4.16	0.285	0.269
0.49	3.33	3.33	1.17	1.45	2.56	0.26	0.263
0.48	5.27	4.22	0.63	1.71	4.49	0.279	0.259
0.47	7.75	4.75	0.25	2.0	5.44	0.354	0.317
0.42	6.0	5.1	0.6	1.55	4.86	0.239	0.215
0.35	4.74	4.01	1.1	1.57	4.66	0.286	0.281
0.32	5.34	5.19	0.74	1.21	3.68	0.279	0.255
0.31	7.03	6.47	0.69	1.43	4.71	0.243	0.215
0.3	2.87	8.84	1.67	1.93	5.13	0.3	0.257
0.3	2.87	8.84	1.67	1.93	5.13	0.3	0.257
0.3	2.87	8.84	1.67	1.93	5.13	0.3	0.257
0.27	4.03	5.37	1.19	1.37	3.88	0.235	0.224
0.27	3.86	8.36	1.61	1.39	4.53	0.398	0.342
0.26	3.87	5.75	1.64	1.48	4.39	0.302	0.288
0.25	6.34	4.72	1.03	1.39	4.52	0.353	0.331
-0.15	4.6	2.87	1.72	1.62	4.74	0.219	0.246
-0.27	3.42	5.04	1.51	1.44	5.63	0.269	0.263
-0.29	5.03	1.84	1.45	2.14	4.68	0.319	0.333
-0.52	5.33	7.0	1.83	2.17	7.45	0.329	0.3
-0.79	5.81	6.49	2.73	1.9	5.98	0.36	0.345
5.29	4.08	8.32	0.0	1.05	3.34	0.273	0.199
3.38	1.73	3.12	0.0	1.53	3.96	0.259	0.233
3.28	2.44	6.93	0.58	1.24	3.95	0.255	0.214
3.23	3.51	7.01	0.53	1.29	3.71	0.299	0.253
2.91	4.4	7.43	0.15	1.44	3.6	0.329	0.256
2.71	3.27	7.86	0.82	1.58	4.71	0.299	0.245
2.09	5.27	8.44	0.63	1.14	3.82	0.308	0.245
1.88	4.08	6.62	0.26	1.13	2.5	0.339	0.284
1.82	3.93	6.43	0.41	1.54	4.04	0.318	0.27
1.81	4.89	8.35	0.71	1.22	4.06	0.302	0.242
1.81	4.89	8.35	0.71	1.22	4.06	0.302	0.242
1.81	4.89	8.35	0.71	1.22	4.06	0.302	0.242
1.59	3.79	7.63	0.62	1.4	3.39	0.288	0.237
1.52	3.58	3.0	0.35	1.66	4.61	0.224	0.216
1.42	6.12	10.44	0.72	1.42	3.62	0.293	0.221
1.37	2.62	5.3	0.7	1.42	5.06	0.277	0.25
1.33	4.23	5.44	0.61	1.33	4.31	0.315	0.281
1.27	3.69	9.0	1.03	1.26	3.41	0.279	0.229
1.21	3.98	5.94	0.81	1.25	3.98	0.315	0.281
1.19	3.92	7.84	0.87	1.5	4.93	0.268	0.223
1.03	3.64	5.64	1.06	1.52	3.49	0.274	0.254
1.02	4.8	6.6	0.9	1.0	2.95	0.299	0.26
1.02	4.8	6.6	0.9	1.0	2.95	0.299	0.26
1.02	4.8	6.6	0.9	1.0	2.95	0.299	0.26
1.02	3.76	10.73	1.61	1.45	4.89	0.385	0.298
1.0	7.34	10.46	0.31	1.31	3.36	0.217	0.151
0.99	4.84	4.99	0.73	1.3	4.42	0.306	0.279
0.98	3.84	4.77	0.93	1.5	4.34	0.329	0.309
0.97	5.6	5.6	0.58	1.56	5.48	0.309	0.274
0.83	5.32	4.15	0.52	1.53	3.49	0.32	0.296
0.62	4.57	6.8	1.08	1.52	4.84	0.321	0.283
0.57	4.23	6.07	1.3	1.6	4.48	0.299	0.274
0.41	5.06	5.06	0.63	1.48	4.87	0.271	0.245
0.41	4.84	4.55	0.88	1.61	5.03	0.262	0.248
0.41	4.84	4.55	0.88	1.61	5.03	0.262	0.248
0.41	4.84	4.55	0.88	1.61	5.03	0.262	0.248
0.4	4.46	5.95	1.34	1.76	4.66	0.285	0.266
0.31	4.57	5.32	1.0	1.44	3.88	0.305	0.284
0.2	4.64	7.52	1.49	1.59	4.37	0.273	0.246
0.16	4.41	4.13	0.96	1.66	4.46	0.323	0.31
0.1	4.63	7.07	1.29	1.96	6.25	0.332	0.295
0.01	6.15	4.68	0.8	1.68	5.9	0.313	0.288
0.01	4.64	5.47	1.39	1.81	5.43	0.286	0.271
-0.01	6.92	7.24	1.65	1.69	5.23	0.267	0.245
-0.05	3.5	6.75	2.25	1.69	6.18	0.33	0.313
-0.26	7.58	6.07	1.21	1.73	5.19	0.305	0.277
7.12	4.0	9.51	0.28	1.22	3.63	0.213	0.156
6.39	3.91	5.68	0.0	1.31	3.57	0.233	0.191
3.83	1.92	6.22	0.48	1.58	4.11	0.259	0.221
3.11	2.94	6.82	0.4	1.32	5.04	0.233	0.198
3.02	3.21	12.16	0.94	0.97	3.42	0.313	0.219
2.58	3.19	8.94	0.9	0.98	2.68	0.319	0.254
2.35	3.23	6.75	0.59	1.27	4.72	0.36	0.309
2.29	3.9	8.5	0.6	1.52	3.94	0.281	0.221
2.0	4.37	7.46	0.51	1.35	4.43	0.389	0.322
1.97	4.19	6.91	0.49	1.03	3.5	0.331	0.277
1.97	4.19	6.91	0.49	1.03	3.5	0.331	0.277
1.97	4.19	6.91	0.49	1.03	3.5	0.331	0.277
1.81	5.21	7.71	0.48	1.88	5.41	0.338	0.272
1.56	4.29	6.97	0.54	1.3	4.44	0.282	0.237
1.3	3.68	3.04	0.32	1.51	4.36	0.3	0.283
1.17	2.99	8.9	1.02	1.16	3.51	0.327	0.265
0.99	3.09	7.73	1.13	1.48	4.43	0.35	0.296
0.86	5.3	9.1	1.0	1.39	5.75	0.253	0.206
0.84	6.84	9.72	0.36	1.29	4.18	0.288	0.217
0.77	4.88	8.44	1.13	1.88	5.68	0.323	0.27
0.76	5.36	7.09	0.77	1.66	4.9	0.345	0.294
0.74	2.25	3.19	0.8	1.67	5.53	0.279	0.272
0.74	2.25	3.19	0.8	1.67	5.53	0.279	0.272
0.74	2.25	3.19	0.8	1.67	5.53	0.279	0.272
0.72	4.06	4.25	0.66	1.11	3.26	0.314	0.293
0.57	3.84	9.66	1.41	1.5	4.88	0.342	0.279
0.54	5.13	5.2	0.77	1.59	4.81	0.318	0.288
0.53	3.97	7.94	1.59	1.82	5.25	0.324	0.287
0.52	2.62	7.41	1.25	1.75	4.51	0.309	0.27
0.51	5.2	7.0	1.0	1.43	5.44	0.336	0.297
0.49	5.79	9.0	1.13	1.6	3.61	0.327	0.263
0.46	3.98	4.97	0.66	1.59	4.95	0.384	0.349
0.42	7.1	5.22	0.2	1.54	4.5	0.33	0.288
0.4	2.89	7.07	1.61	1.56	4.47	0.313	0.282
0.4	2.89	7.07	1.61	1.56	4.47	0.313	0.282
0.4	2.89	7.07	1.61	1.56	4.47	0.313	0.282
0.38	2.41	3.21	1.34	1.63	5.06	0.346	0.349
0.32	5.23	7.55	0.87	1.73	5.04	0.33	0.278
0.31	7.86	8.13	0.79	1.84	6.55	0.327	0.272
0.24	6.26	7.99	1.4	1.8	3.65	0.361	0.307
0.22	3.24	7.09	1.86	1.67	5.78	0.284	0.267
0.13	5.45	8.31	1.82	1.63	6.15	0.303	0.272
-0.25	2.87	3.45	0.86	1.78	5.46	0.325	0.313
-0.33	4.94	6.56	1.85	1.95	5.66	0.362	0.339
-0.47	5.99	5.85	1.25	1.92	6.49	0.333	0.304
-0.48	3.9	3.34	2.23	1.76	7.43	0.307	0.326
