WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
11.74	1.85	7.01	0.24	0.97	1.49	0.268	0.215
10.97	1.11	9.31	0.36	0.79	1.62	0.253	0.188
7.0	1.76	6.46	0.59	0.94	2.25	0.398	0.344
6.97	2.46	7.67	0.0	1.27	3.06	0.297	0.225
6.94	1.87	6.3	0.17	1.16	2.93	0.253	0.206
5.5	2.49	3.78	0.21	1.16	3.23	0.243	0.221
5.15	3.59	11.75	0.61	1.07	2.36	0.262	0.18
5.12	1.98	4.95	0.28	1.07	3.91	0.329	0.291
4.82	1.52	3.68	0.36	1.14	3.72	0.298	0.276
4.57	1.36	5.85	0.68	1.11	4.25	0.25	0.223
4.57	1.36	5.85	0.68	1.11	4.25	0.25	0.223
4.57	1.36	5.85	0.68	1.11	4.25	0.25	0.223
4.33	1.01	9.67	0.81	1.03	2.38	0.364	0.281
4.32	2.45	5.08	0.43	0.98	2.76	0.271	0.24
4.22	2.55	4.21	0.64	1.38	3.32	0.28	0.26
4.19	2.07	4.36	0.74	1.19	3.08	0.305	0.283
3.92	2.35	5.58	0.29	1.33	3.8	0.311	0.271
3.91	3.39	5.94	0.37	1.18	3.5	0.282	0.241
3.78	2.59	2.59	0.11	1.3	3.57	0.231	0.216
3.75	2.34	6.03	0.56	1.16	3.19	0.279	0.246
3.51	2.29	3.53	0.57	1.1	3.36	0.266	0.253
3.51	4.98	7.08	0.52	1.38	3.3	0.383	0.321
3.51	4.98	7.08	0.52	1.38	3.3	0.383	0.321
3.51	4.98	7.08	0.52	1.38	3.3	0.383	0.321
3.36	2.32	5.27	0.4	1.47	3.39	0.266	0.236
3.33	2.91	4.72	0.39	1.25	3.83	0.264	0.236
3.28	2.83	4.65	0.46	1.1	3.18	0.335	0.304
3.14	2.2	7.13	0.81	1.14	3.74	0.281	0.241
3.04	3.06	5.37	0.58	1.19	3.24	0.263	0.234
3.02	5.03	3.98	0.28	1.12	3.97	0.262	0.237
2.94	3.25	4.75	0.5	1.21	4.02	0.273	0.244
2.9	3.25	6.04	0.51	1.08	3.07	0.313	0.269
2.9	2.34	4.98	0.53	1.27	3.04	0.266	0.239
2.89	2.56	3.27	0.46	1.26	3.77	0.323	0.304
2.89	2.56	3.27	0.46	1.26	3.77	0.323	0.304
2.89	2.56	3.27	0.46	1.26	3.77	0.323	0.304
2.86	3.6	5.13	0.37	1.42	3.57	0.289	0.258
2.79	2.5	3.13	0.52	1.45	4.38	0.293	0.277
2.78	1.41	5.65	0.79	1.29	3.85	0.301	0.269
2.78	1.94	1.43	0.72	1.23	3.54	0.276	0.28
