WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
13.63	2.38	7.14	0.36	1.16	2.42	0.25	0.204
7.44	3.16	6.28	0.28	1.21	2.24	0.287	0.238
6.16	2.23	4.63	0.4	1.21	3.41	0.279	0.249
4.48	2.28	2.84	0.22	1.29	4.53	0.243	0.228
4.47	1.98	6.56	0.62	1.01	3.01	0.263	0.225
3.54	3.71	4.64	0.56	1.08	2.99	0.252	0.228
3.5	2.43	3.74	0.58	0.97	2.03	0.268	0.252
2.96	4.21	4.29	0.47	1.15	4.09	0.271	0.248
2.53	4.05	3.81	0.65	1.16	3.83	0.255	0.242
2.24	3.31	7.79	0.83	1.36	3.45	0.278	0.23
2.24	3.31	7.79	0.83	1.36	3.45	0.278	0.23
2.24	3.31	7.79	0.83	1.36	3.45	0.278	0.23
2.1	3.96	6.94	0.74	1.23	3.23	0.348	0.299
2.02	3.25	3.82	0.46	1.2	3.6	0.33	0.303
1.98	3.01	2.81	0.7	1.49	4.84	0.234	0.233
1.71	2.29	5.61	0.87	1.23	3.83	0.278	0.252
1.67	3.6	1.8	0.72	1.41	4.09	0.257	0.261
1.28	1.98	3.67	0.87	1.47	4.12	0.261	0.253
1.25	2.96	2.4	0.83	1.39	5.26	0.287	0.285
1.13	4.06	3.35	0.53	1.37	4.47	0.286	0.272
1.03	4.23	5.04	0.81	1.24	4.58	0.34	0.311
0.91	2.0	3.91	1.2	1.3	3.57	0.318	0.309
0.91	2.0	3.91	1.2	1.3	3.57	0.318	0.309
0.91	2.0	3.91	1.2	1.3	3.57	0.318	0.309
0.57	3.21	4.14	0.93	1.52	3.8	0.275	0.264
0.41	2.94	6.36	1.16	1.49	4.7	0.278	0.251
0.37	2.08	3.88	1.26	1.62	3.75	0.273	0.272
0.3	3.53	3.99	1.02	1.74	4.21	0.293	0.283
0.29	3.63	5.55	1.17	1.82	5.97	0.308	0.285
0.22	3.54	4.18	1.29	1.47	4.39	0.315	0.308
0.16	2.96	5.6	1.43	1.36	3.98	0.285	0.269
0.05	6.49	8.2	1.71	1.54	5.2	0.333	0.293
-0.07	4.44	2.31	1.74	1.95	6.62	0.27	0.291
-0.4	5.32	4.02	1.56	1.63	6.31	0.339	0.332
5.02	2.96	9.68	0.57	1.25	3.41	0.341	0.259
4.81	3.91	9.41	0.36	1.27	3.93	0.343	0.257
4.72	2.0	7.67	0.74	1.33	3.73	0.248	0.207
4.65	3.87	7.55	0.38	1.25	3.75	0.257	0.206
3.89	2.74	5.06	0.42	1.18	3.99	0.25	0.222
3.52	2.46	5.22	0.31	1.15	3.2	0.253	0.222
3.34	2.17	4.35	0.49	1.37	4.29	0.323	0.295
3.3	3.97	7.35	0.2	0.96	2.92	0.302	0.241
2.61	2.14	6.2	0.86	1.33	2.57	0.297	0.263
2.56	3.75	5.14	0.43	1.35	3.9	0.311	0.274
2.56	3.75	5.14	0.43	1.35	3.9	0.311	0.274
2.56	3.75	5.14	0.43	1.35	3.9	0.311	0.274
1.89	4.15	3.64	0.0	1.21	4.04	0.339	0.305
1.87	1.01	3.47	0.58	1.43	3.98	0.264	0.252
1.87	4.57	6.2	0.3	1.1	3.21	0.312	0.264
1.86	2.95	5.34	0.62	1.38	3.29	0.297	0.265
1.61	2.01	4.02	0.6	1.6	4.05	0.291	0.27
1.61	3.16	4.37	0.67	1.3	4.45	0.308	0.285
1.49	2.9	6.1	0.87	1.44	3.87	0.32	0.281
1.47	3.3	6.77	0.85	1.4	2.61	0.299	0.259
1.37	2.5	6.44	0.88	1.06	3.71	0.307	0.267
1.29	4.21	7.15	0.68	1.51	3.72	0.305	0.257
1.29	4.21	7.15	0.68	1.51	3.72	0.305	0.257
1.29	4.21	7.15	0.68	1.51	3.72	0.305	0.257
1.2	1.57	4.93	0.89	1.32	3.39	0.284	0.263
1.16	3.38	5.59	0.7	1.44	4.33	0.335	0.298
1.13	3.22	5.56	0.67	1.57	4.01	0.261	0.233
1.12	3.52	4.33	0.63	1.46	3.5	0.336	0.307
1.12	3.96	5.82	0.47	1.32	4.42	0.304	0.261
1.09	4.19	4.78	0.63	1.09	3.25	0.268	0.246
0.59	5.28	5.52	0.59	1.37	4.08	0.267	0.239
0.58	2.82	3.02	0.71	1.46	4.95	0.276	0.27
0.46	2.02	4.36	1.09	1.74	5.38	0.284	0.275
0.46	3.1	3.41	0.93	1.7	3.67	0.343	0.328
0.46	3.1	3.41	0.93	1.7	3.67	0.343	0.328
0.46	3.1	3.41	0.93	1.7	3.67	0.343	0.328
0.34	3.71	4.77	0.88	1.42	3.87	0.305	0.283
0.34	1.64	5.24	1.64	1.37	6.14	0.331	0.314
0.17	3.16	5.26	1.75	1.73	5.66	0.349	0.33
0.14	5.14	4.37	1.29	1.5	5.45	0.319	0.308
0.02	3.13	5.93	1.81	1.55	4.88	0.302	0.289
-0.0	4.31	5.75	1.6	1.78	5.56	0.342	0.319
-0.0	2.85	3.86	1.51	1.68	5.3	0.344	0.339
-0.01	2.13	5.45	2.26	1.68	6.46	0.28	0.283
-0.03	4.37	4.37	1.99	1.72	4.87	0.297	0.303
5.14	2.38	8.33	0.36	1.18	3.2	0.313	0.245
5.03	2.22	7.67	0.51	1.31	4.23	0.272	0.222
4.88	1.9	6.09	0.19	1.16	4.27	0.319	0.264
4.67	2.81	7.11	0.5	1.37	4.46	0.289	0.239
4.44	4.12	6.42	0.17	1.07	2.99	0.273	0.225
4.05	3.02	6.64	0.45	1.4	3.83	0.29	0.243
4.03	3.98	7.97	0.3	1.16	4.08	0.28	0.214
3.8	1.91	9.25	0.88	1.38	3.75	0.372	0.296
3.7	2.91	7.45	0.7	1.38	4.9	0.334	0.277
3.29	2.92	6.54	0.52	1.33	3.87	0.276	0.236
3.29	2.92	6.54	0.52	1.33	3.87	0.276	0.236
3.29	2.92	6.54	0.52	1.33	3.87	0.276	0.236
3.17	4.39	9.4	0.56	1.16	3.48	0.339	0.259
2.8	3.44	7.14	0.59	1.57	4.52	0.321	0.267
2.79	3.18	6.99	0.85	1.42	4.24	0.307	0.261
2.76	3.73	6.47	0.5	1.2	4.05	0.317	0.267
2.75	4.68	7.36	0.58	1.47	3.81	0.313	0.26
2.3	3.27	3.82	0.55	1.16	4.48	0.356	0.333
2.26	3.41	7.7	0.98	1.24	3.21	0.262	0.224
2.19	1.86	4.37	0.64	1.16	2.81	0.279	0.256
2.17	3.04	8.76	0.89	1.38	3.88	0.424	0.34
1.94	2.41	7.93	0.85	1.26	4.69	0.323	0.269
1.94	2.41	7.93	0.85	1.26	4.69	0.323	0.269
1.94	2.41	7.93	0.85	1.26	4.69	0.323	0.269
1.78	3.97	7.27	0.47	1.21	3.47	0.318	0.263
1.72	1.98	7.61	0.9	1.49	4.01	0.292	0.246
1.58	4.62	9.95	1.07	1.64	4.46	0.328	0.258
1.55	3.72	5.28	0.78	1.18	3.03	0.34	0.306
1.27	4.85	6.37	0.83	1.44	4.71	0.309	0.271
1.26	1.96	7.03	0.95	1.09	4.61	0.342	0.295
1.2	1.76	4.7	0.82	1.49	4.83	0.378	0.35
1.11	2.89	6.43	0.64	1.2	3.79	0.269	0.234
1.0	3.09	4.84	0.67	1.66	5.52	0.332	0.301
0.98	4.89	5.82	0.47	1.45	5.46	0.331	0.286
0.98	4.89	5.82	0.47	1.45	5.46	0.331	0.286
0.98	4.89	5.82	0.47	1.45	5.46	0.331	0.286
0.92	2.91	7.89	1.04	1.4	3.52	0.377	0.318
0.79	2.63	7.47	0.94	1.77	4.21	0.37	0.314
0.74	3.4	5.32	0.85	1.54	4.46	0.228	0.214
0.69	2.23	5.7	0.5	1.87	6.14	0.328	0.286
0.62	3.05	5.19	0.76	1.61	5.34	0.365	0.331
0.58	3.43	4.98	0.89	1.4	4.63	0.282	0.261
0.51	4.28	6.09	0.49	1.43	4.92	0.244	0.214
0.48	3.43	7.71	0.86	1.57	5.45	0.325	0.277
0.48	4.6	8.04	0.77	1.51	4.5	0.328	0.266
0.48	3.91	7.7	0.78	1.37	4.68	0.305	0.255
0.48	3.91	7.7	0.78	1.37	4.68	0.305	0.255
0.48	3.91	7.7	0.78	1.37	4.68	0.305	0.255
0.45	3.54	6.58	1.35	1.57	4.51	0.303	0.275
0.43	4.77	6.15	0.6	1.43	4.94	0.286	0.252
0.33	2.47	6.24	1.16	1.53	5.24	0.325	0.297
0.24	3.3	7.5	1.2	1.63	4.42	0.351	0.304
0.24	5.67	10.17	1.17	1.42	5.27	0.369	0.29
0.23	3.19	6.37	1.51	1.5	4.37	0.335	0.304
0.23	2.65	6.4	1.25	1.7	4.04	0.31	0.283
0.1	4.94	6.24	0.87	1.62	4.96	0.306	0.271
0.06	6.48	5.94	0.68	1.66	4.63	0.273	0.243
0.04	3.46	5.31	0.92	1.58	6.26	0.406	0.369
0.04	3.46	5.31	0.92	1.58	6.26	0.406	0.369
0.04	3.46	5.31	0.92	1.58	6.26	0.406	0.369
0.04	2.93	8.46	1.84	1.86	7.25	0.36	0.309
-0.03	4.12	5.69	1.33	1.8	5.18	0.28	0.267
-0.16	5.27	6.3	1.03	1.63	4.5	0.31	0.279
-0.24	2.64	6.09	1.84	1.5	4.95	0.37	0.343
-0.3	4.87	7.08	1.55	1.65	6.33	0.356	0.316
-0.35	3.62	9.88	2.17	1.6	5.3	0.343	0.291
-0.38	3.67	5.45	2.01	1.97	5.41	0.309	0.305
-0.5	5.68	6.22	1.95	1.75	6.01	0.325	0.309
