WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
4.23	2.81	6.39	0.29	1.26	3.23	0.275	0.227
2.63	2.31	5.97	0.57	1.1	2.84	0.303	0.264
-0.02	4.4	2.93	0.21	1.79	3.88	0.344	0.326
4.31	2.55	7.87	0.64	1.2	4.09	0.322	0.261
2.17	1.47	6.87	0.82	1.16	4.34	0.318	0.276
1.33	3.12	4.69	0.45	1.25	2.78	0.268	0.245
1.15	2.3	5.23	0.99	1.24	3.18	0.263	0.246
0.7	3.27	5.91	0.95	1.22	3.62	0.241	0.22
0.24	4.07	6.68	1.45	1.25	5.53	0.368	0.331
0.11	1.78	4.45	1.78	1.74	5.42	0.268	0.271
3.68	2.59	6.1	0.37	1.44	4.93	0.277	0.232
2.73	1.24	5.97	1.0	1.57	4.22	0.336	0.3
1.65	1.7	6.79	1.19	1.07	3.41	0.294	0.261
1.24	4.12	6.72	0.52	1.31	4.77	0.346	0.291
1.18	3.23	6.46	0.94	1.29	3.84	0.316	0.275
0.91	4.23	10.48	0.81	1.43	4.36	0.377	0.283
0.79	4.56	9.3	0.91	1.17	3.88	0.36	0.283
0.71	3.43	3.28	0.6	1.44	5.59	0.271	0.257
0.7	3.21	6.91	1.12	1.6	4.63	0.321	0.282
0.65	1.8	3.6	1.13	1.59	4.37	0.348	0.333
0.65	1.8	3.6	1.13	1.59	4.37	0.348	0.333
0.65	1.8	3.6	1.13	1.59	4.37	0.348	0.333
0.48	2.87	6.0	1.57	1.5	5.42	0.304	0.286
0.42	1.73	5.19	2.08	1.58	6.39	0.337	0.33
