WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
1.86	2.38	3.77	0.55	1.33	3.2	0.273	0.257
1.79	3.01	6.19	0.88	1.16	3.47	0.263	0.235
1.77	2.14	3.48	0.8	1.53	4.12	0.322	0.309
1.64	2.87	6.65	0.91	1.58	3.61	0.287	0.25
1.6	3.02	5.84	0.81	1.44	3.25	0.256	0.234
1.52	5.01	8.76	0.72	1.22	3.48	0.289	0.23
1.5	3.97	4.43	0.36	1.44	4.36	0.323	0.291
1.43	3.97	6.35	0.79	1.45	4.99	0.356	0.313
1.41	2.46	4.7	0.78	1.58	4.05	0.291	0.269
1.28	2.51	5.82	0.8	1.21	3.98	0.265	0.237
1.18	2.58	6.15	1.07	1.62	4.14	0.339	0.306
1.18	2.58	6.15	1.07	1.62	4.14	0.339	0.306
1.18	2.58	6.15	1.07	1.62	4.14	0.339	0.306
1.13	2.54	7.57	1.24	1.45	5.0	0.307	0.27
1.12	5.16	8.28	0.69	1.33	3.7	0.289	0.233
1.08	2.83	4.72	0.94	1.12	4.46	0.346	0.32
1.05	3.14	6.37	0.81	1.58	5.27	0.312	0.271
1.04	2.96	6.58	1.08	1.37	4.0	0.346	0.306
0.98	2.1	4.28	0.84	1.1	3.3	0.324	0.303
0.91	2.19	6.57	1.22	1.45	3.75	0.312	0.279
0.83	3.56	7.64	1.05	1.11	3.23	0.22	0.195
0.83	3.27	4.77	1.15	1.2	3.46	0.3	0.283
0.82	1.02	2.8	1.02	1.14	4.92	0.305	0.307
0.82	1.02	2.8	1.02	1.14	4.92	0.305	0.307
0.82	1.02	2.8	1.02	1.14	4.92	0.305	0.307
0.81	3.26	4.44	0.89	1.72	4.49	0.31	0.291
0.8	1.31	3.94	1.31	1.47	4.76	0.258	0.256
0.74	5.48	10.76	1.37	1.3	4.22	0.361	0.283
0.68	3.11	5.15	0.97	1.64	5.41	0.272	0.254
0.59	4.26	4.26	0.85	1.57	4.21	0.357	0.339
0.55	3.38	5.28	1.17	1.5	5.03	0.307	0.288
0.53	2.25	4.5	1.25	1.42	3.31	0.25	0.246
0.53	4.85	6.27	1.21	1.46	3.89	0.267	0.247
0.43	3.42	6.19	1.53	1.94	3.83	0.303	0.282
0.36	3.71	4.6	1.19	1.62	3.75	0.299	0.288
0.36	3.71	4.6	1.19	1.62	3.75	0.299	0.288
0.36	3.71	4.6	1.19	1.62	3.75	0.299	0.288
0.26	3.95	3.79	0.95	1.77	4.07	0.388	0.375
0.25	6.08	5.45	0.7	1.33	4.37	0.305	0.273
0.16	3.98	6.4	1.56	1.54	5.94	0.319	0.291
0.12	6.96	4.3	0.61	1.4	5.54	0.261	0.247
0.01	4.17	5.07	1.27	1.44	5.83	0.333	0.315
-0.0	2.15	3.38	1.53	1.68	6.25	0.299	0.309
-0.07	5.14	7.16	1.65	1.74	6.28	0.34	0.302
-0.09	2.62	5.71	2.16	1.86	4.63	0.287	0.288
-0.12	3.73	5.27	1.76	1.76	5.77	0.292	0.288
-0.13	3.97	3.97	1.59	2.04	5.11	0.301	0.301
-0.13	3.97	3.97	1.59	2.04	5.11	0.301	0.301
-0.13	3.97	3.97	1.59	2.04	5.11	0.301	0.301
-0.15	4.21	8.07	2.1	1.71	6.02	0.338	0.301
-0.27	5.91	8.74	2.06	1.71	5.41	0.313	0.277
6.09	2.1	13.1	0.16	1.14	3.33	0.286	0.172
5.29	3.23	10.27	0.23	1.19	3.8	0.278	0.194
5.28	2.68	8.4	0.36	1.29	3.96	0.356	0.272
4.95	1.38	8.82	0.28	1.18	3.73	0.4	0.307
