WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
14.89	1.78	7.33	0.07	0.78	1.16	0.221	0.17
8.22	3.73	6.99	0.39	0.87	2.89	0.265	0.217
7.28	2.69	6.82	0.29	1.27	2.77	0.277	0.229
6.79	2.43	4.0	0.24	1.2	2.37	0.235	0.212
6.46	3.77	8.44	0.4	1.01	2.44	0.298	0.229
6.14	1.65	2.41	0.28	1.2	2.97	0.283	0.27
5.78	4.59	7.7	0.24	1.16	2.92	0.276	0.215
5.69	2.94	4.7	0.0	1.24	3.85	0.222	0.192
5.68	1.94	3.15	0.47	1.04	2.86	0.244	0.233
5.05	3.49	4.62	0.32	1.25	2.49	0.268	0.24
5.05	3.49	4.62	0.32	1.25	2.49	0.268	0.24
5.05	3.49	4.62	0.32	1.25	2.49	0.268	0.24
4.88	3.6	6.49	0.59	1.21	3.53	0.302	0.259
4.73	2.71	7.02	0.43	1.15	3.57	0.256	0.211
4.46	1.88	9.15	0.65	1.17	3.32	0.238	0.186
4.29	2.31	4.88	0.51	1.03	3.0	0.271	0.244
4.25	2.2	3.44	0.46	1.25	2.83	0.273	0.257
4.21	2.97	4.39	0.26	1.19	2.92	0.275	0.246
4.14	1.58	4.11	0.16	1.3	3.55	0.253	0.224
4.04	4.56	7.21	0.19	1.13	2.37	0.259	0.204
3.94	2.31	5.61	0.58	1.18	3.07	0.247	0.218
3.81	2.74	6.45	0.51	1.19	3.02	0.282	0.241
3.81	2.74	6.45	0.51	1.19	3.02	0.282	0.241
3.81	2.74	6.45	0.51	1.19	3.02	0.282	0.241
3.77	2.65	6.84	1.05	1.04	2.98	0.226	0.205
3.67	2.31	4.85	0.22	1.21	2.99	0.278	0.242
3.58	3.07	3.59	0.42	1.07	2.82	0.256	0.239
3.54	2.21	7.03	0.66	1.36	4.18	0.292	0.247
3.38	2.63	4.12	0.17	1.23	2.92	0.301	0.269
3.13	3.76	2.05	0.0	1.2	3.25	0.283	0.268
3.04	3.55	5.21	0.24	1.21	2.58	0.288	0.25
2.91	2.84	6.32	0.57	1.09	3.51	0.283	0.242
2.89	4.87	5.9	0.15	1.16	3.53	0.302	0.258
2.77	2.79	3.58	0.32	1.15	3.32	0.249	0.232
2.77	2.79	3.58	0.32	1.15	3.32	0.249	0.232
2.77	2.79	3.58	0.32	1.15	3.32	0.249	0.232
2.72	3.5	6.31	0.6	1.2	3.87	0.252	0.218
2.71	3.06	4.38	0.77	1.36	3.61	0.271	0.256
2.62	2.83	3.33	0.33	1.45	5.3	0.337	0.315
