WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
9.39	2.61	8.0	0.11	0.84	1.76	0.222	0.166
8.08	3.0	7.9	0.0	0.9	2.44	0.335	0.258
7.34	3.79	7.15	0.14	0.87	2.91	0.232	0.183
7.16	2.18	6.87	0.19	1.04	2.3	0.293	0.238
7.05	2.94	4.98	0.33	1.18	3.03	0.265	0.235
6.69	3.67	8.41	0.32	1.12	2.31	0.193	0.148
6.32	3.53	6.56	0.38	1.01	2.61	0.309	0.258
6.18	1.97	8.32	0.66	0.99	3.1	0.269	0.217
5.49	2.42	3.63	0.35	1.15	2.67	0.265	0.245
5.43	4.15	6.4	0.17	1.22	2.85	0.284	0.235
5.43	4.15	6.4	0.17	1.22	2.85	0.284	0.235
5.43	4.15	6.4	0.17	1.22	2.85	0.284	0.235
5.28	3.08	4.13	0.26	1.06	2.76	0.238	0.215
5.08	1.59	3.85	0.63	1.12	3.71	0.259	0.244
5.06	2.57	2.02	0.18	1.27	3.11	0.271	0.258
4.99	2.73	4.09	0.27	1.16	3.07	0.286	0.259
4.73	3.1	5.44	0.6	1.19	3.0	0.272	0.242
4.32	2.23	5.17	0.62	1.3	3.26	0.334	0.302
4.19	2.42	3.62	0.54	1.25	3.18	0.259	0.244
3.96	1.89	5.6	0.47	1.25	3.34	0.213	0.188
3.94	4.67	5.48	0.25	1.23	3.42	0.27	0.235
3.87	1.98	3.25	0.19	1.35	3.17	0.287	0.267
3.87	1.98	3.25	0.19	1.35	3.17	0.287	0.267
3.87	1.98	3.25	0.19	1.35	3.17	0.287	0.267
3.8	1.93	4.5	0.59	1.34	2.96	0.275	0.253
3.77	2.52	6.31	0.92	1.33	3.37	0.245	0.221
3.46	2.35	5.64	0.43	1.17	2.86	0.325	0.282
3.45	2.29	5.46	0.7	1.16	3.0	0.277	0.248
3.43	2.53	6.84	0.64	1.26	3.29	0.275	0.235
3.39	2.42	2.77	0.0	1.19	3.28	0.318	0.297
3.31	1.77	5.65	0.53	1.06	3.0	0.292	0.257
3.23	1.24	5.75	0.71	1.48	4.29	0.26	0.231
3.23	2.76	9.18	0.85	1.36	3.01	0.329	0.258
3.19	2.48	7.5	0.8	1.34	3.63	0.302	0.255
3.19	2.48	7.5	0.8	1.34	3.63	0.302	0.255
3.19	2.48	7.5	0.8	1.34	3.63	0.302	0.255
3.13	2.81	3.09	0.28	1.15	2.42	0.295	0.274
3.1	2.16	4.37	0.62	1.23	3.29	0.286	0.265
2.96	4.02	5.63	0.4	1.2	3.69	0.25	0.216
2.94	3.09	2.65	0.33	1.4	3.48	0.259	0.247
2.93	3.78	6.23	0.19	1.24	3.13	0.34	0.285
2.81	2.37	3.2	0.36	1.09	2.75	0.273	0.255
2.67	4.26	7.23	0.6	1.11	3.75	0.273	0.228
2.52	2.52	5.64	0.48	1.25	3.67	0.289	0.25
2.4	3.94	5.06	0.39	1.15	3.08	0.268	0.235
2.31	2.2	2.76	0.45	1.21	3.2	0.28	0.267
2.31	2.2	2.76	0.45	1.21	3.2	0.28	0.267
2.31	2.2	2.76	0.45	1.21	3.2	0.28	0.267
2.19	3.91	6.04	0.36	1.53	3.8	0.337	0.29
2.17	2.49	6.44	0.62	1.24	3.73	0.29	0.249
2.14	4.6	4.6	0.0	1.21	3.32	0.29	0.252
2.1	4.13	5.69	0.28	1.34	3.47	0.299	0.256
2.1	6.37	6.59	0.36	1.52	4.51	0.259	0.213
2.09	3.36	4.63	0.61	1.38	3.32	0.264	0.242
2.06	2.97	3.46	0.6	1.29	4.41	0.284	0.269
2.02	3.58	7.65	0.48	1.31	4.05	0.351	0.288
2.01	2.53	2.61	0.32	1.31	3.9	0.317	0.3
1.96	3.36	6.18	0.67	1.24	4.19	0.297	0.259
1.96	3.36	6.18	0.67	1.24	4.19	0.297	0.259
1.96	3.36	6.18	0.67	1.24	4.19	0.297	0.259
1.86	3.21	2.79	0.33	1.44	3.4	0.256	0.244
1.81	2.55	3.35	0.73	1.21	3.25	0.288	0.276
1.79	4.59	5.38	0.32	1.45	3.33	0.285	0.246
1.78	3.42	3.76	0.34	1.51	4.5	0.267	0.247
1.75	4.64	7.94	0.73	1.15	3.53	0.223	0.189
1.75	2.48	3.88	0.62	1.41	5.1	0.262	0.249
1.72	2.85	3.35	0.84	1.33	3.41	0.27	0.262
1.71	4.42	3.28	0.38	1.53	3.84	0.264	0.248
1.7	4.44	5.25	0.37	1.22	4.09	0.314	0.277
1.68	2.85	3.25	0.52	1.4	3.59	0.293	0.278
1.68	2.85	3.25	0.52	1.4	3.59	0.293	0.278
1.68	2.85	3.25	0.52	1.4	3.59	0.293	0.278
1.66	4.57	2.98	0.2	1.31	3.94	0.241	0.224
1.63	2.82	3.63	0.4	1.25	3.21	0.338	0.315
1.62	3.81	4.15	0.51	1.36	4.28	0.251	0.233
1.58	2.26	5.11	0.66	1.44	2.86	0.286	0.26
1.54	4.62	3.92	0.0	1.52	3.6	0.254	0.23
1.53	3.43	6.73	0.98	1.3	3.63	0.231	0.209
1.48	3.17	5.25	0.67	1.35	4.09	0.27	0.242
1.48	2.73	4.38	0.79	1.44	3.99	0.313	0.293
1.47	1.54	3.27	0.86	1.32	2.22	0.253	0.25
1.46	3.76	3.5	0.77	1.47	4.11	0.31	0.295
1.46	3.76	3.5	0.77	1.47	4.11	0.31	0.295
1.46	3.76	3.5	0.77	1.47	4.11	0.31	0.295
1.39	4.81	5.95	0.63	1.34	4.21	0.256	0.224
1.33	4.78	6.15	0.55	1.24	4.36	0.313	0.269
1.24	4.55	8.35	0.87	1.21	4.22	0.293	0.24
