WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
11.06	1.75	11.85	0.45	0.9	1.55	0.244	0.163
10.52	2.36	8.94	0.05	1.09	2.59	0.255	0.184
9.88	1.64	6.44	0.28	0.94	1.82	0.257	0.214
8.2	1.66	7.71	0.29	0.76	1.46	0.259	0.204
7.27	4.0	6.5	0.0	1.26	2.73	0.296	0.24
6.78	4.04	6.71	0.27	0.89	2.33	0.233	0.189
6.78	2.04	4.73	0.35	1.11	2.95	0.307	0.273
6.38	2.3	4.53	0.38	1.26	3.78	0.237	0.215
5.98	3.49	8.54	0.46	1.03	2.74	0.261	0.204
5.88	1.92	3.72	0.54	1.17	4.17	0.289	0.27
5.88	1.92	3.72	0.54	1.17	4.17	0.289	0.27
5.88	1.92	3.72	0.54	1.17	4.17	0.289	0.27
5.75	3.6	6.15	0.15	1.06	3.3	0.206	0.168
5.53	3.47	4.85	0.18	1.1	3.08	0.264	0.229
5.35	3.38	6.68	0.27	1.05	3.59	0.287	0.238
5.23	3.24	4.79	0.52	1.21	2.94	0.228	0.208
4.71	1.67	4.0	0.33	1.05	3.93	0.398	0.374
4.51	1.99	3.3	0.61	1.3	3.08	0.279	0.265
4.34	2.49	5.02	0.47	1.24	3.17	0.254	0.228
4.32	3.8	7.66	0.53	1.24	3.06	0.253	0.206
4.25	2.74	3.98	0.27	1.13	4.29	0.314	0.285
4.17	4.02	2.68	0.22	1.09	2.74	0.254	0.241
4.17	4.02	2.68	0.22	1.09	2.74	0.254	0.241
4.17	4.02	2.68	0.22	1.09	2.74	0.254	0.241
4.16	3.1	5.71	0.37	1.18	2.83	0.279	0.241
4.11	2.99	5.77	0.61	1.35	3.82	0.257	0.228
3.97	2.13	4.64	0.47	1.24	3.29	0.324	0.292
3.73	1.74	4.95	0.94	1.11	3.12	0.309	0.287
3.71	2.1	6.53	0.62	1.28	3.09	0.276	0.236
3.45	3.54	3.49	0.05	1.25	2.91	0.276	0.249
3.42	3.74	3.89	0.0	1.1	2.93	0.271	0.24
3.34	3.1	7.13	0.53	1.24	3.11	0.3	0.247
3.27	2.4	6.96	0.7	1.26	4.27	0.274	0.234
3.25	2.46	3.99	0.61	1.12	3.38	0.339	0.322
3.25	2.46	3.99	0.61	1.12	3.38	0.339	0.322
3.25	2.46	3.99	0.61	1.12	3.38	0.339	0.322
3.22	2.31	4.75	0.58	1.12	3.67	0.286	0.26
3.09	2.2	3.86	0.55	1.16	3.0	0.308	0.289
2.95	3.44	6.38	0.49	1.21	3.58	0.398	0.338
2.92	3.17	4.42	0.5	1.19	3.87	0.272	0.247
2.85	2.92	9.0	0.71	1.16	3.06	0.264	0.206
2.81	3.18	5.18	0.41	1.27	2.75	0.244	0.215
2.71	2.53	4.22	0.42	0.97	2.81	0.271	0.247
2.62	3.01	4.03	0.54	1.35	3.62	0.296	0.273
2.6	3.33	4.85	0.58	1.41	3.69	0.268	0.242
2.59	2.5	4.17	0.97	1.22	3.44	0.263	0.253
2.59	2.5	4.17	0.97	1.22	3.44	0.263	0.253
2.59	2.5	4.17	0.97	1.22	3.44	0.263	0.253
2.3	3.16	9.24	0.73	1.25	3.55	0.3	0.236
2.28	3.94	5.34	0.56	1.38	3.07	0.247	0.22
2.24	2.51	5.89	0.77	1.27	4.2	0.241	0.216
2.23	4.07	2.79	0.21	1.1	3.64	0.302	0.286
2.19	1.96	7.47	1.19	1.62	5.02	0.333	0.289
2.18	2.79	4.97	0.62	1.37	3.49	0.319	0.284
2.17	3.75	3.75	0.43	1.25	4.55	0.265	0.245
2.15	3.02	6.21	0.84	1.29	3.07	0.261	0.233
2.08	1.62	4.75	0.91	1.23	4.0	0.27	0.254
2.05	4.51	5.59	0.5	1.41	3.78	0.289	0.255
2.05	4.51	5.59	0.5	1.41	3.78	0.289	0.255
2.05	4.51	5.59	0.5	1.41	3.78	0.289	0.255
1.89	2.6	5.76	0.73	1.48	4.9	0.252	0.226
1.82	3.65	3.89	0.49	1.45	3.66	0.311	0.289
1.77	2.87	3.61	0.64	1.23	3.57	0.301	0.286
1.73	4.11	6.02	0.59	1.43	4.08	0.249	0.216
1.68	1.84	4.37	1.03	1.38	4.21	0.3	0.284
1.67	2.68	4.11	0.79	1.32	2.55	0.21	0.206
1.65	2.76	2.84	0.57	1.39	4.11	0.388	0.364
1.59	3.19	6.7	0.57	1.38	3.85	0.294	0.249
1.44	4.28	5.19	0.63	1.39	3.77	0.281	0.253
1.42	3.82	3.11	0.24	1.44	4.0	0.322	0.299
1.42	3.82	3.11	0.24	1.44	4.0	0.322	0.299
1.42	3.82	3.11	0.24	1.44	4.0	0.322	0.299
1.37	3.93	3.93	0.59	1.21	3.69	0.27	0.252
1.36	3.79	4.13	0.45	1.41	5.51	0.344	0.315
1.36	3.96	6.56	0.99	1.26	4.64	0.268	0.238
1.35	3.98	6.04	0.8	1.31	3.9	0.278	0.249
1.33	1.53	4.85	0.95	1.17	3.62	0.284	0.267
1.31	3.62	4.04	0.56	1.22	4.23	0.278	0.257
1.27	4.38	6.78	0.73	1.0	3.75	0.296	0.253
1.23	3.64	1.66	0.33	1.38	4.67	0.313	0.309
1.22	3.88	4.03	0.9	1.66	3.83	0.288	0.274
1.22	2.18	5.36	0.99	1.29	4.08	0.221	0.212
1.22	2.18	5.36	0.99	1.29	4.08	0.221	0.212
1.22	2.18	5.36	0.99	1.29	4.08	0.221	0.212
1.2	2.8	3.77	0.82	1.48	3.91	0.21	0.207
1.14	1.89	4.29	0.88	1.19	4.59	0.307	0.29
1.05	3.14	4.19	0.74	1.32	3.62	0.259	0.243
1.04	3.08	4.9	0.87	1.34	4.2	0.311	0.285
1.03	3.2	2.57	0.63	1.44	4.02	0.287	0.281
1.01	4.93	3.89	0.78	1.57	4.43	0.322	0.305
0.98	4.04	8.07	0.96	1.39	3.03	0.279	0.232
0.95	4.44	4.67	0.7	1.44	3.9	0.279	0.255
0.91	3.1	3.54	0.71	1.16	3.57	0.292	0.28
0.9	7.36	3.82	0.27	1.31	3.06	0.262	0.238
0.9	7.36	3.82	0.27	1.31	3.06	0.262	0.238
0.9	7.36	3.82	0.27	1.31	3.06	0.262	0.238
0.89	2.54	6.74	0.98	1.35	3.95	0.271	0.239
0.85	1.79	4.02	0.89	1.54	5.33	0.252	0.25
0.85	1.25	2.4	1.15	1.34	4.51	0.322	0.324
0.83	2.91	3.25	1.03	1.29	3.72	0.335	0.325
0.82	3.55	2.16	0.62	1.45	4.28	0.263	0.262
0.77	2.17	4.85	0.96	1.77	3.25	0.29	0.27
0.73	2.27	1.24	0.82	1.63	4.6	0.28	0.291
0.73	3.47	4.52	0.74	1.56	3.9	0.275	0.257
0.7	3.97	4.58	0.61	1.48	4.76	0.241	0.222
0.64	3.7	4.9	0.72	1.09	4.19	0.264	0.241
0.64	3.7	4.9	0.72	1.09	4.19	0.264	0.241
0.64	3.7	4.9	0.72	1.09	4.19	0.264	0.241
0.63	3.29	3.08	0.62	1.02	3.91	0.294	0.281
0.62	2.67	6.13	0.85	1.41	4.69	0.254	0.227
0.61	3.67	1.29	0.55	1.38	3.62	0.294	0.298
0.61	3.16	1.05	1.05	1.35	4.21	0.289	0.304
0.59	4.31	3.47	1.05	1.18	4.51	0.269	0.267
0.57	3.04	1.77	0.98	1.45	4.19	0.297	0.304
0.55	4.14	2.52	0.54	1.42	4.44	0.256	0.253
0.5	2.46	7.19	1.58	1.67	2.94	0.319	0.287
0.45	3.18	2.12	0.53	1.6	4.19	0.228	0.228
0.37	4.03	6.96	0.86	1.32	3.84	0.249	0.219
6.53	2.95	9.19	0.23	1.15	2.33	0.302	0.224
6.48	2.67	9.62	0.27	1.22	3.29	0.307	0.228
4.71	4.88	8.24	0.31	1.33	3.98	0.319	0.25
4.25	3.55	6.59	0.25	1.24	3.75	0.283	0.235
3.67	2.81	8.02	0.6	1.23	4.21	0.304	0.245
3.57	5.35	6.57	0.24	1.26	4.11	0.259	0.215
3.43	3.78	6.72	0.53	1.23	3.04	0.345	0.288
3.34	2.35	6.44	0.87	1.05	3.94	0.316	0.277
2.96	2.88	7.34	0.52	1.31	3.56	0.289	0.241
2.7	2.7	6.9	0.75	1.22	4.28	0.286	0.247
2.7	2.7	6.9	0.75	1.22	4.28	0.286	0.247
2.7	2.7	6.9	0.75	1.22	4.28	0.286	0.247
2.13	3.52	5.53	0.25	1.0	3.5	0.311	0.268
1.94	2.15	4.52	0.43	1.32	3.9	0.242	0.221
1.92	2.99	6.78	0.53	1.22	3.45	0.3	0.256
1.91	3.41	9.31	0.93	1.4	4.21	0.28	0.224
1.78	2.9	8.15	1.08	1.38	3.99	0.287	0.243
1.75	2.08	6.55	0.96	1.38	3.46	0.199	0.183
1.71	4.49	6.55	0.72	1.46	3.02	0.259	0.227
1.58	1.64	4.85	0.75	1.44	4.68	0.259	0.239
1.36	4.84	7.37	0.8	0.85	3.77	0.263	0.223
1.34	3.09	7.05	0.99	1.54	3.37	0.312	0.269
1.34	3.09	7.05	0.99	1.54	3.37	0.312	0.269
1.34	3.09	7.05	0.99	1.54	3.37	0.312	0.269
1.26	2.69	5.2	0.92	1.33	5.19	0.279	0.256
1.17	4.27	4.51	0.48	1.74	5.64	0.319	0.289
1.11	3.26	6.23	0.89	1.64	4.69	0.419	0.367
1.06	3.77	5.85	1.0	1.34	3.44	0.295	0.266
1.0	2.97	4.32	0.57	1.49	4.79	0.265	0.244
0.95	4.81	6.29	0.74	1.53	4.56	0.302	0.268
0.93	1.9	5.19	1.2	1.13	2.36	0.282	0.266
0.91	6.67	6.99	0.64	1.57	4.57	0.372	0.318
0.89	3.38	5.52	0.92	1.56	4.14	0.382	0.344
0.86	2.99	2.71	0.54	1.21	3.57	0.359	0.343
0.86	2.99	2.71	0.54	1.21	3.57	0.359	0.343
0.86	2.99	2.71	0.54	1.21	3.57	0.359	0.343
0.82	5.52	4.91	0.77	1.26	4.9	0.265	0.243
0.8	3.57	5.12	1.09	1.28	4.78	0.335	0.313
0.77	2.98	5.57	1.18	1.42	4.88	0.309	0.285
0.75	3.02	3.62	0.91	1.4	5.02	0.314	0.3
0.73	4.41	5.78	0.99	1.46	4.91	0.322	0.292
0.61	2.67	3.85	1.3	1.46	5.06	0.261	0.262
0.55	4.81	5.75	0.94	1.79	4.51	0.275	0.251
0.55	5.06	6.03	0.84	1.38	3.3	0.353	0.318
0.54	5.6	7.13	0.76	1.25	3.44	0.275	0.23
0.51	2.53	5.91	1.57	1.42	4.88	0.31	0.298
0.51	2.53	5.91	1.57	1.42	4.88	0.31	0.298
0.51	2.53	5.91	1.57	1.42	4.88	0.31	0.298
0.44	3.32	5.68	1.42	1.84	4.85	0.262	0.25
0.38	2.91	5.29	1.32	1.36	5.14	0.306	0.287
0.37	3.45	6.6	1.35	1.71	5.61	0.344	0.309
0.35	3.33	2.33	0.67	1.51	4.69	0.214	0.214
0.32	3.4	3.57	1.02	1.15	5.0	0.279	0.276
0.32	5.12	5.47	0.82	1.54	4.22	0.268	0.246
0.31	2.31	4.85	1.85	1.91	4.2	0.289	0.287
0.18	3.34	7.2	1.54	1.83	5.53	0.27	0.249
0.18	6.04	6.4	1.07	1.94	4.38	0.393	0.349
0.16	3.14	5.55	1.66	1.81	4.43	0.317	0.303
0.16	3.14	5.55	1.66	1.81	4.43	0.317	0.303
0.16	3.14	5.55	1.66	1.81	4.43	0.317	0.303
-0.06	6.53	7.43	1.13	1.65	4.94	0.317	0.275
-0.18	3.32	4.26	1.42	1.58	5.47	0.341	0.331
-0.27	6.41	5.99	1.05	1.98	6.44	0.291	0.266
-0.33	5.21	4.28	1.49	1.72	5.89	0.283	0.285
-0.39	7.33	4.81	1.26	2.17	5.28	0.31	0.294
-0.96	4.07	3.94	2.71	1.92	7.79	0.325	0.342
8.14	1.65	10.1	0.0	1.24	4.57	0.275	0.191
5.08	2.23	5.54	0.19	1.26	4.65	0.315	0.27
4.4	2.45	9.29	0.59	1.21	3.84	0.301	0.228
4.4	2.33	8.96	0.74	1.34	4.19	0.268	0.213
3.96	3.09	5.66	0.26	1.35	4.34	0.386	0.338
3.87	1.56	6.49	0.52	1.33	4.74	0.31	0.268
3.51	2.47	7.84	0.44	1.33	3.87	0.264	0.211
3.41	2.38	6.35	0.55	1.08	3.11	0.293	0.252
3.3	2.29	4.78	0.42	1.3	3.67	0.351	0.314
3.04	2.7	5.51	0.55	1.0	3.14	0.297	0.262
3.04	2.7	5.51	0.55	1.0	3.14	0.297	0.262
3.04	2.7	5.51	0.55	1.0	3.14	0.297	0.262
3.02	3.15	7.99	0.85	1.2	3.42	0.205	0.177
2.59	5.17	7.61	0.43	0.86	1.53	0.36	0.292
2.21	3.19	6.65	0.67	1.28	2.93	0.306	0.261
2.19	2.62	6.85	0.78	1.52	5.07	0.284	0.244
1.99	3.22	5.95	0.43	0.96	3.72	0.305	0.262
1.93	2.88	7.8	0.92	1.31	4.6	0.329	0.274
1.92	4.14	7.05	0.61	1.36	3.94	0.293	0.247
1.78	2.63	4.54	0.48	1.03	3.37	0.351	0.318
1.59	2.74	5.06	0.42	1.34	4.06	0.296	0.263
1.54	4.66	8.07	0.62	1.68	4.96	0.356	0.293
1.54	4.66	8.07	0.62	1.68	4.96	0.356	0.293
1.54	4.66	8.07	0.62	1.68	4.96	0.356	0.293
1.35	2.5	4.08	0.45	1.33	4.51	0.311	0.283
1.34	2.69	6.91	0.8	1.56	4.89	0.315	0.27
1.34	3.3	10.3	0.97	1.47	5.02	0.374	0.285
1.26	3.36	8.15	0.97	1.35	4.42	0.311	0.257
1.23	4.83	14.5	1.99	1.32	3.78	0.323	0.228
1.21	4.26	7.11	0.71	1.19	4.56	0.315	0.267
1.17	2.9	5.79	0.93	1.35	5.1	0.308	0.276
1.0	5.17	5.75	0.29	1.48	5.12	0.313	0.274
0.99	3.31	7.71	1.1	1.52	3.59	0.286	0.244
0.99	5.46	8.48	0.78	1.57	5.2	0.268	0.214
0.99	5.46	8.48	0.78	1.57	5.2	0.268	0.214
0.99	5.46	8.48	0.78	1.57	5.2	0.268	0.214
0.98	2.93	5.21	0.98	1.48	5.01	0.348	0.324
0.95	2.68	6.16	0.79	1.47	4.27	0.266	0.236
0.91	3.81	7.67	0.88	1.44	4.89	0.277	0.232
0.89	4.23	8.32	0.88	1.27	4.11	0.319	0.265
0.85	3.93	9.25	0.89	1.58	4.83	0.296	0.235
0.78	4.62	7.4	0.74	1.36	4.16	0.329	0.275
0.76	1.12	5.28	1.01	1.51	4.57	0.308	0.286
0.73	2.86	6.73	1.0	1.71	3.75	0.304	0.267
0.73	3.93	7.99	1.01	1.24	3.35	0.351	0.294
0.71	4.61	8.67	0.99	1.29	4.5	0.324	0.266
0.71	4.61	8.67	0.99	1.29	4.5	0.324	0.266
0.71	4.61	8.67	0.99	1.29	4.5	0.324	0.266
0.71	3.59	5.46	0.94	1.42	4.36	0.3	0.277
0.71	3.4	6.38	1.06	1.74	5.23	0.303	0.28
0.61	3.89	5.71	0.52	1.46	4.36	0.262	0.234
0.59	4.03	7.4	0.95	1.35	4.97	0.357	0.306
0.56	2.48	2.79	0.62	1.3	4.92	0.299	0.287
0.56	3.67	7.78	1.61	1.44	4.9	0.324	0.287
0.56	3.0	7.0	1.08	1.6	4.43	0.323	0.285
0.49	3.45	5.01	0.81	1.74	5.65	0.314	0.288
0.49	3.16	5.53	1.32	1.57	4.07	0.282	0.268
0.47	5.15	6.29	1.14	1.5	5.71	0.274	0.249
0.47	5.15	6.29	1.14	1.5	5.71	0.274	0.249
0.47	5.15	6.29	1.14	1.5	5.71	0.274	0.249
0.46	5.68	7.82	0.71	1.34	5.53	0.311	0.267
0.45	5.15	8.52	1.35	1.69	4.15	0.314	0.263
0.39	4.36	4.78	0.83	1.59	4.53	0.302	0.278
0.39	4.29	6.43	0.75	1.58	4.62	0.363	0.313
0.36	5.63	5.63	0.75	1.68	5.2	0.355	0.313
0.3	4.09	5.73	1.15	1.77	3.33	0.337	0.309
0.3	4.77	5.72	0.64	1.79	5.27	0.341	0.3
0.22	5.8	6.6	0.6	2.02	5.52	0.399	0.343
0.18	7.67	5.0	0.0	1.53	6.15	0.315	0.272
0.11	2.81	6.84	1.4	1.69	5.45	0.304	0.273
0.11	2.81	6.84	1.4	1.69	5.45	0.304	0.273
0.11	2.81	6.84	1.4	1.69	5.45	0.304	0.273
-0.03	5.81	8.13	1.16	1.71	5.42	0.326	0.275
-0.07	4.82	2.89	0.32	1.87	6.4	0.277	0.265
-0.07	2.76	6.34	1.93	1.5	6.33	0.306	0.294
-0.13	4.5	6.23	2.08	1.62	5.23	0.274	0.271
-0.28	4.67	6.93	1.7	1.74	7.49	0.361	0.33
-0.3	4.56	5.96	2.1	1.89	5.53	0.453	0.419
-0.46	4.99	6.46	2.35	2.42	7.32	0.416	0.39
-0.48	5.4	2.83	1.8	2.35	7.38	0.287	0.301
-0.49	7.56	4.32	1.8	2.0	7.75	0.289	0.29
