WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
2.96	1.7	6.29	0.66	1.21	3.48	0.298	0.26
0.57	3.99	6.37	0.76	1.48	4.08	0.308	0.271
2.83	3.05	6.32	0.44	1.32	4.09	0.316	0.267
2.23	2.96	6.2	0.92	1.57	4.63	0.293	0.259
1.08	3.92	9.28	1.24	1.28	3.39	0.263	0.218
1.02	5.21	6.76	0.72	1.26	4.28	0.313	0.267
0.02	2.48	6.61	1.38	1.56	4.68	0.343	0.309
2.81	2.17	11.83	0.33	1.28	4.06	0.339	0.227
2.08	3.66	8.63	0.75	1.07	2.25	0.289	0.231
1.37	3.87	5.06	0.82	1.45	5.24	0.311	0.286
0.4	2.61	4.28	0.93	1.54	4.72	0.317	0.298
0.19	6.75	5.83	1.53	1.98	7.13	0.333	0.31
