WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
8.4	1.54	5.59	0.26	1.01	2.52	0.267	0.229
5.4	1.53	4.91	0.0	1.13	2.62	0.37	0.319
5.17	3.83	9.45	0.34	1.09	3.28	0.272	0.201
4.34	3.11	4.54	0.0	1.24	3.09	0.275	0.243
2.56	5.31	8.37	0.36	1.51	4.89	0.303	0.239
2.37	3.2	5.18	0.32	1.39	3.95	0.279	0.242
2.37	4.27	7.02	0.58	1.38	3.24	0.293	0.246
2.28	2.2	6.83	0.81	1.23	3.91	0.271	0.234
1.69	2.55	3.97	0.57	1.28	3.49	0.291	0.27
1.52	3.79	6.75	0.87	1.48	4.41	0.25	0.221
1.52	3.79	6.75	0.87	1.48	4.41	0.25	0.221
1.52	3.79	6.75	0.87	1.48	4.41	0.25	0.221
1.19	5.81	5.52	0.29	1.22	2.84	0.377	0.331
1.17	3.7	6.25	0.85	1.39	4.22	0.3	0.263
1.14	4.92	5.59	0.4	1.35	4.54	0.256	0.224
1.1	2.88	3.96	0.72	1.47	2.9	0.211	0.205
0.86	2.84	2.13	0.71	1.37	3.96	0.343	0.34
0.74	3.86	3.41	0.59	1.4	4.47	0.278	0.264
0.6	4.41	4.93	0.78	1.04	4.05	0.303	0.275
0.58	5.7	3.42	0.25	1.58	4.32	0.279	0.264
0.49	4.69	4.95	0.79	1.48	4.56	0.283	0.259
0.48	4.02	3.06	0.77	1.43	2.54	0.263	0.257
0.48	4.02	3.06	0.77	1.43	2.54	0.263	0.257
0.48	4.02	3.06	0.77	1.43	2.54	0.263	0.257
0.47	3.78	4.66	1.09	1.38	4.83	0.265	0.253
0.42	4.13	2.86	0.64	1.53	4.22	0.281	0.271
0.39	4.68	4.96	0.83	1.97	3.94	0.258	0.239
0.35	4.51	7.55	1.21	1.74	4.16	0.305	0.265
0.24	4.5	4.75	1.25	1.25	5.77	0.301	0.285
0.22	8.95	4.87	0.47	1.58	4.9	0.304	0.27
0.06	2.52	2.78	1.77	2.01	5.24	0.295	0.31
-0.23	3.86	8.07	1.75	1.54	5.51	0.239	0.221
-0.24	6.25	5.12	1.42	1.85	7.72	0.398	0.374
-0.62	6.37	4.85	2.43	2.34	6.46	0.28	0.293
7.78	2.32	9.1	0.49	1.05	2.15	0.292	0.221
4.1	3.2	8.26	0.18	1.43	3.73	0.276	0.211
4.02	2.91	8.72	0.69	1.12	2.29	0.287	0.224
3.52	4.74	7.11	0.0	1.23	3.72	0.264	0.209
3.24	4.97	5.47	0.33	1.26	4.0	0.316	0.276
3.04	2.6	7.81	0.33	1.43	3.97	0.239	0.188
2.67	2.37	7.11	0.71	1.2	3.68	0.283	0.239
2.24	3.33	4.99	0.51	1.44	5.08	0.26	0.232
2.1	3.1	7.65	0.94	1.51	4.61	0.288	0.243
1.84	3.21	8.47	0.96	1.47	4.7	0.34	0.277
1.84	3.21	8.47	0.96	1.47	4.7	0.34	0.277
1.84	3.21	8.47	0.96	1.47	4.7	0.34	0.277
1.49	3.26	5.9	0.78	1.12	3.28	0.296	0.262
1.3	4.51	8.51	0.9	1.57	4.0	0.304	0.248
1.21	1.7	5.48	1.13	1.35	3.92	0.268	0.253
1.17	3.2	6.83	0.97	1.56	3.46	0.275	0.241
1.14	4.79	6.08	0.58	1.11	3.99	0.326	0.284
1.11	3.51	7.71	0.88	1.48	4.37	0.294	0.243
0.88	3.97	5.43	0.81	1.13	3.55	0.281	0.256
0.84	5.57	5.29	0.28	1.34	4.51	0.268	0.235
0.8	3.43	5.25	0.86	1.38	4.18	0.315	0.288
0.78	3.51	5.61	1.05	0.94	3.51	0.264	0.242
0.78	3.51	5.61	1.05	0.94	3.51	0.264	0.242
0.78	3.51	5.61	1.05	0.94	3.51	0.264	0.242
0.77	3.07	5.32	1.23	1.29	3.31	0.273	0.259
0.74	5.5	5.98	0.68	1.27	4.09	0.279	0.244
