WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
10.52	2.56	10.54	0.11	0.77	1.39	0.224	0.148
9.72	2.64	10.86	0.63	1.04	2.25	0.259	0.187
9.54	2.7	8.96	0.25	0.97	2.82	0.255	0.192
6.92	3.35	9.74	0.51	1.05	2.46	0.229	0.169
6.92	2.15	7.05	0.57	1.05	2.94	0.267	0.224
6.12	2.11	4.88	0.48	1.1	2.77	0.266	0.239
5.89	2.98	3.74	0.2	1.07	3.13	0.229	0.207
5.75	2.41	7.35	0.36	1.12	3.0	0.298	0.242
5.72	2.99	6.71	0.09	1.27	2.79	0.325	0.265
5.19	0.7	5.62	0.4	1.33	4.1	0.245	0.213
5.19	0.7	5.62	0.4	1.33	4.1	0.245	0.213
5.19	0.7	5.62	0.4	1.33	4.1	0.245	0.213
5.13	1.29	4.61	0.68	1.05	3.07	0.279	0.258
4.82	2.43	4.86	0.43	1.29	3.55	0.309	0.276
4.8	2.04	6.11	0.51	1.08	3.26	0.356	0.308
4.73	2.84	5.91	0.37	1.15	4.23	0.252	0.216
4.67	2.79	3.78	0.18	1.15	3.17	0.29	0.262
4.51	2.68	4.33	0.28	0.95	2.15	0.213	0.191
4.48	5.4	8.1	0.23	1.25	3.06	0.321	0.247
4.4	3.52	4.56	0.48	1.17	3.05	0.301	0.275
4.27	2.1	5.45	0.45	1.13	3.31	0.255	0.224
4.22	2.68	3.65	0.24	1.32	3.21	0.24	0.222
4.22	2.68	3.65	0.24	1.32	3.21	0.24	0.222
4.22	2.68	3.65	0.24	1.32	3.21	0.24	0.222
4.15	2.39	5.68	0.4	1.25	3.45	0.27	0.234
4.11	2.45	2.39	0.38	0.95	2.22	0.237	0.229
4.07	2.57	5.66	0.46	0.83	2.49	0.275	0.24
3.8	3.94	6.56	0.4	1.09	3.02	0.263	0.221
3.65	1.47	3.13	0.47	1.22	3.12	0.254	0.242
3.65	3.18	3.71	0.18	1.35	3.27	0.261	0.238
3.55	1.93	5.43	0.64	1.21	3.77	0.261	0.233
3.53	3.73	7.95	0.57	0.97	2.18	0.292	0.237
3.5	2.52	6.54	0.6	1.17	2.46	0.277	0.236
3.49	3.39	5.68	0.44	1.29	3.37	0.295	0.255
3.49	3.39	5.68	0.44	1.29	3.37	0.295	0.255
3.49	3.39	5.68	0.44	1.29	3.37	0.295	0.255
3.22	5.22	5.83	0.0	1.06	3.22	0.301	0.248
3.16	1.75	3.81	0.61	1.3	2.49	0.25	0.238
3.09	1.33	4.0	0.67	1.17	3.82	0.235	0.225
2.9	1.74	4.56	0.64	1.15	2.55	0.327	0.299
2.9	3.13	6.26	0.59	1.28	4.25	0.259	0.224
2.86	2.84	5.21	0.37	1.3	3.53	0.244	0.216
2.86	4.69	6.45	0.59	1.27	3.5	0.27	0.231
2.81	4.52	4.52	0.44	1.25	4.18	0.3	0.271
2.67	2.12	5.89	0.73	1.37	3.75	0.27	0.24
2.67	4.65	7.95	0.3	1.45	5.16	0.35	0.282
2.67	4.65	7.95	0.3	1.45	5.16	0.35	0.282
2.67	4.65	7.95	0.3	1.45	5.16	0.35	0.282
2.66	4.07	4.07	0.23	1.22	4.16	0.262	0.235
2.61	3.26	3.51	0.43	1.14	3.24	0.33	0.306
2.61	3.99	3.68	0.55	1.52	3.84	0.233	0.219
2.53	3.5	4.16	0.46	1.34	3.84	0.296	0.272
2.51	3.36	3.92	0.46	1.34	4.57	0.263	0.243
2.47	3.07	5.54	0.52	1.36	3.6	0.293	0.256
2.43	2.33	2.72	0.78	1.31	4.61	0.321	0.313
2.33	4.2	6.73	0.87	1.28	3.73	0.26	0.229
2.23	3.81	3.81	0.33	1.12	3.65	0.253	0.231
2.15	2.63	4.93	0.77	1.43	4.38	0.293	0.269
2.15	2.63	4.93	0.77	1.43	4.38	0.293	0.269
2.15	2.63	4.93	0.77	1.43	4.38	0.293	0.269
2.12	3.98	4.71	0.72	1.36	3.24	0.256	0.238
2.12	1.42	2.37	0.71	1.24	4.02	0.317	0.31
2.11	4.73	6.96	0.46	1.64	4.82	0.277	0.229
2.09	3.75	2.93	0.61	1.12	2.46	0.284	0.275
2.09	3.56	3.66	0.42	1.41	4.3	0.234	0.217
2.08	1.92	4.18	0.55	1.35	3.9	0.304	0.279
1.91	4.58	6.86	0.76	1.31	3.89	0.253	0.219
1.87	3.05	3.05	0.47	1.57	3.8	0.277	0.272
1.82	4.18	9.35	1.05	1.24	3.67	0.285	0.23
1.81	2.69	4.97	0.67	1.26	3.66	0.306	0.277
1.81	2.69	4.97	0.67	1.26	3.66	0.306	0.277
1.81	2.69	4.97	0.67	1.26	3.66	0.306	0.277
1.79	2.84	3.61	0.77	1.61	4.2	0.253	0.245
1.73	4.25	7.07	0.47	1.42	3.44	0.34	0.282
1.5	2.68	6.71	0.84	1.24	3.43	0.275	0.238
1.5	5.96	5.08	0.35	1.54	3.42	0.292	0.257
1.46	2.47	2.73	0.8	1.28	3.16	0.311	0.306
1.44	3.06	2.13	0.5	1.27	3.91	0.283	0.277
1.44	4.27	3.62	0.48	1.32	4.46	0.306	0.285
1.44	3.72	6.89	0.75	1.19	4.27	0.259	0.225
1.43	3.09	3.95	0.68	1.32	2.57	0.283	0.266
1.42	2.13	3.19	0.67	1.25	3.54	0.304	0.294
1.42	2.13	3.19	0.67	1.25	3.54	0.304	0.294
1.42	2.13	3.19	0.67	1.25	3.54	0.304	0.294
1.32	3.98	6.2	0.62	1.45	3.61	0.368	0.317
1.31	6.37	3.03	0.0	1.23	3.84	0.3	0.275
1.3	5.92	5.92	0.3	1.26	3.88	0.219	0.186
1.3	4.44	5.52	0.6	1.35	3.86	0.25	0.223
1.27	2.35	6.59	1.24	1.52	4.61	0.315	0.283
1.21	2.29	4.34	0.79	1.48	5.73	0.288	0.271
1.19	4.5	1.8	0.0	1.71	3.87	0.333	0.322
1.17	3.58	3.2	0.51	1.33	3.57	0.277	0.264
1.08	3.76	5.17	0.66	1.44	2.92	0.245	0.224
1.08	3.68	6.14	0.61	1.69	4.54	0.247	0.218
1.08	3.68	6.14	0.61	1.69	4.54	0.247	0.218
1.08	3.68	6.14	0.61	1.69	4.54	0.247	0.218
1.04	2.61	3.54	1.21	1.39	4.15	0.267	0.267
0.97	4.47	2.5	0.36	1.64	5.28	0.312	0.298
0.96	4.56	6.12	0.8	1.36	4.11	0.254	0.226
0.91	3.29	4.7	0.94	1.48	2.9	0.283	0.266
0.89	3.82	1.53	0.51	1.29	4.08	0.222	0.23
0.89	4.0	4.3	0.8	1.48	3.84	0.269	0.254
0.89	2.79	5.07	0.72	1.45	4.76	0.274	0.251
0.88	1.87	4.36	1.25	1.37	3.86	0.298	0.289
0.82	3.29	8.31	1.07	1.45	4.28	0.287	0.241
0.8	4.05	4.86	0.54	1.74	4.45	0.3	0.276
0.8	4.05	4.86	0.54	1.74	4.45	0.3	0.276
0.8	4.05	4.86	0.54	1.74	4.45	0.3	0.276
0.79	4.88	4.95	0.7	1.16	4.02	0.314	0.285
0.75	6.0	4.0	0.5	1.32	4.16	0.213	0.202
0.75	2.94	6.42	1.2	1.58	3.33	0.243	0.225
0.74	3.72	6.68	1.1	1.72	3.87	0.264	0.238
0.74	3.58	5.12	0.9	1.49	3.51	0.249	0.231
0.72	2.66	2.21	0.66	1.47	2.65	0.297	0.296
0.72	4.57	4.75	0.79	1.37	3.94	0.269	0.25
0.71	4.36	5.18	0.82	1.67	4.09	0.213	0.2
0.71	3.72	7.84	1.37	1.36	4.22	0.335	0.289
0.69	2.62	4.26	1.11	1.38	3.7	0.304	0.291
5.66	2.34	7.96	0.31	1.09	3.76	0.219	0.173
4.52	4.67	10.83	0.5	1.44	3.96	0.254	0.179
4.36	1.82	6.49	0.26	1.26	3.42	0.289	0.239
3.98	3.53	8.93	0.42	1.44	4.09	0.212	0.161
3.77	3.6	9.34	0.68	1.24	3.97	0.275	0.213
3.63	2.92	7.36	0.61	1.16	2.73	0.298	0.249
3.61	2.71	5.06	0.43	1.32	3.67	0.31	0.277
3.54	2.72	5.05	0.49	1.46	4.45	0.294	0.261
3.18	2.68	6.47	0.45	0.85	2.56	0.267	0.227
2.78	3.29	8.8	0.66	1.13	2.57	0.305	0.241
2.78	3.29	8.8	0.66	1.13	2.57	0.305	0.241
2.78	3.29	8.8	0.66	1.13	2.57	0.305	0.241
2.69	3.44	10.49	1.03	1.53	4.27	0.302	0.233
2.66	3.31	7.99	0.83	1.1	2.57	0.337	0.28
2.46	4.48	6.01	0.57	1.65	5.01	0.29	0.253
2.39	4.33	9.3	1.02	1.36	3.2	0.344	0.274
2.29	3.34	10.03	1.29	1.51	4.54	0.262	0.214
2.09	3.69	10.03	1.03	1.41	3.65	0.316	0.244
2.01	1.5	7.05	1.06	1.24	3.25	0.278	0.245
1.99	2.74	5.63	0.72	1.3	3.89	0.27	0.243
1.9	4.66	5.47	0.47	1.26	3.08	0.315	0.276
1.83	2.67	7.33	1.0	0.95	2.69	0.287	0.246
1.83	2.67	7.33	1.0	0.95	2.69	0.287	0.246
1.83	2.67	7.33	1.0	0.95	2.69	0.287	0.246
1.79	4.72	10.38	1.18	1.39	4.07	0.271	0.213
1.76	4.93	6.17	0.5	1.19	3.77	0.292	0.249
1.57	2.83	5.33	0.66	1.28	3.44	0.274	0.247
1.4	5.09	8.61	0.78	1.14	3.33	0.267	0.215
1.4	3.99	7.04	0.84	1.18	4.44	0.296	0.252
1.34	3.57	5.99	0.75	1.45	4.77	0.313	0.276
1.3	4.52	5.6	0.54	1.55	4.59	0.318	0.277
1.26	4.11	6.8	1.16	1.6	4.54	0.322	0.284
1.17	2.16	2.62	0.93	1.53	3.65	0.251	0.255
1.17	3.58	5.71	0.94	1.52	5.25	0.302	0.273
1.17	3.58	5.71	0.94	1.52	5.25	0.302	0.273
1.17	3.58	5.71	0.94	1.52	5.25	0.302	0.273
1.1	3.44	5.16	1.06	1.59	3.84	0.306	0.284
1.1	3.39	5.34	0.94	1.2	3.87	0.315	0.288
1.05	4.15	5.45	1.06	1.5	4.47	0.315	0.288
0.95	3.92	5.08	0.87	1.58	4.39	0.318	0.29
0.94	4.64	4.64	0.82	1.55	6.12	0.296	0.273
0.91	4.71	10.67	1.88	1.34	4.78	0.238	0.21
0.87	2.13	4.03	0.95	1.35	4.81	0.381	0.361
0.85	2.91	3.18	1.06	1.33	3.98	0.283	0.284
0.73	4.45	4.86	0.82	1.64	5.56	0.282	0.263
0.63	3.2	3.72	1.12	1.14	3.66	0.269	0.266
0.63	3.2	3.72	1.12	1.14	3.66	0.269	0.266
0.63	3.2	3.72	1.12	1.14	3.66	0.269	0.266
0.63	2.75	4.67	1.3	1.26	4.66	0.278	0.272
0.6	3.42	5.9	1.3	1.5	3.61	0.309	0.285
0.59	5.6	6.7	0.98	1.52	4.99	0.312	0.273
0.5	3.46	3.89	1.3	1.6	5.3	0.284	0.281
0.44	2.94	4.41	1.26	1.74	4.69	0.311	0.299
0.42	3.87	6.95	1.69	1.5	5.1	0.323	0.293
0.21	5.07	6.63	1.37	1.38	4.71	0.313	0.281
0.15	3.96	5.71	1.57	1.76	5.84	0.323	0.307
0.15	5.42	6.66	1.62	1.58	4.62	0.32	0.295
-0.12	4.18	7.04	2.09	1.93	7.06	0.327	0.308
-0.12	4.18	7.04	2.09	1.93	7.06	0.327	0.308
-0.12	4.18	7.04	2.09	1.93	7.06	0.327	0.308
-0.12	4.47	6.35	2.06	1.7	5.66	0.275	0.269
-0.23	7.51	7.75	1.41	1.73	5.98	0.336	0.288
-0.31	6.44	4.6	1.84	1.93	6.15	0.261	0.274
-0.32	6.82	4.18	1.95	1.71	6.82	0.297	0.302
5.23	2.19	6.49	0.29	1.42	3.41	0.229	0.189
5.2	1.94	8.06	0.53	1.49	4.37	0.267	0.215
4.99	1.58	5.23	0.49	1.4	4.24	0.282	0.249
4.11	3.46	6.92	0.27	0.89	2.83	0.275	0.224
4.04	3.09	6.43	0.35	1.21	4.21	0.339	0.283
3.95	2.49	12.09	0.99	1.0	2.88	0.402	0.284
3.58	2.55	5.35	0.51	1.34	4.92	0.322	0.29
3.0	4.62	7.65	0.29	1.38	3.97	0.354	0.285
2.69	1.76	7.35	0.77	1.41	4.22	0.27	0.227
2.57	3.26	7.47	0.77	1.12	3.21	0.264	0.222
2.57	3.26	7.47	0.77	1.12	3.21	0.264	0.222
2.57	3.26	7.47	0.77	1.12	3.21	0.264	0.222
2.51	4.97	8.23	0.45	1.31	4.48	0.297	0.232
2.41	2.2	6.02	0.59	1.68	5.67	0.313	0.275
2.38	4.42	5.82	0.47	1.69	6.17	0.279	0.243
2.26	3.46	6.55	0.86	1.29	3.99	0.256	0.226
2.23	5.76	10.8	0.85	1.52	5.04	0.291	0.215
2.21	4.05	8.67	0.63	1.02	3.71	0.321	0.253
2.09	3.18	5.65	0.88	1.2	3.29	0.312	0.286
1.91	5.52	6.9	0.46	1.33	4.4	0.307	0.26
1.85	4.2	7.51	0.52	1.33	4.41	0.337	0.274
1.81	3.74	6.02	0.83	1.27	5.39	0.281	0.252
1.81	3.74	6.02	0.83	1.27	5.39	0.281	0.252
1.81	3.74	6.02	0.83	1.27	5.39	0.281	0.252
1.41	2.63	7.13	0.88	1.31	4.44	0.324	0.276
1.28	3.55	4.93	0.49	1.5	5.34	0.279	0.25
1.22	4.17	5.27	0.66	1.59	4.36	0.341	0.304
1.19	2.65	6.87	1.18	1.64	3.7	0.308	0.272
1.13	4.69	8.48	1.12	1.15	3.72	0.257	0.218
1.08	2.32	8.42	1.16	1.65	4.67	0.266	0.225
1.08	4.24	4.24	0.68	1.53	5.52	0.298	0.278
1.02	4.26	4.89	0.62	1.4	3.42	0.331	0.298
1.01	4.71	7.22	0.94	1.07	4.53	0.267	0.233
0.98	3.95	3.73	0.66	1.41	4.33	0.287	0.275
0.98	3.95	3.73	0.66	1.41	4.33	0.287	0.275
0.98	3.95	3.73	0.66	1.41	4.33	0.287	0.275
0.96	4.0	8.5	1.0	1.81	5.81	0.343	0.28
0.81	3.49	6.35	1.32	1.38	4.78	0.276	0.253
0.81	2.31	6.17	1.54	1.6	5.96	0.32	0.296
0.8	6.09	5.2	0.63	1.68	6.07	0.4	0.357
0.74	3.81	9.45	1.34	1.29	4.37	0.344	0.278
0.7	5.96	9.47	1.05	2.16	5.02	0.383	0.302
0.68	3.39	7.67	1.62	1.56	4.91	0.337	0.299
0.61	4.54	10.64	1.95	1.42	3.67	0.363	0.292
0.53	3.97	6.35	1.19	1.35	4.04	0.304	0.276
0.47	3.71	6.12	1.1	1.49	4.55	0.256	0.234
0.47	3.71	6.12	1.1	1.49	4.55	0.256	0.234
0.47	3.71	6.12	1.1	1.49	4.55	0.256	0.234
0.44	2.61	3.48	1.45	1.07	5.48	0.2	0.214
0.44	3.07	5.93	1.68	1.62	5.97	0.311	0.294
0.4	5.05	6.94	1.13	1.44	5.01	0.326	0.287
0.39	5.44	5.81	0.75	1.38	5.73	0.362	0.324
0.33	3.68	5.89	1.53	1.62	6.56	0.27	0.259
0.19	5.5	8.06	1.1	1.83	5.71	0.369	0.307
0.16	6.53	6.97	1.09	1.46	4.84	0.277	0.245
0.16	6.1	6.53	1.52	1.88	6.76	0.265	0.248
0.16	8.07	7.36	0.7	1.66	5.33	0.333	0.28
0.13	5.96	7.48	1.27	1.61	5.31	0.305	0.267
0.13	5.96	7.48	1.27	1.61	5.31	0.305	0.267
0.13	5.96	7.48	1.27	1.61	5.31	0.305	0.267
0.13	4.97	4.81	1.2	1.99	6.03	0.31	0.293
0.12	5.51	6.16	1.44	1.63	4.42	0.355	0.325
0.03	3.93	5.64	1.71	2.11	6.6	0.308	0.294
-0.29	5.0	5.33	1.33	2.18	7.56	0.396	0.362
-0.37	5.03	5.68	1.54	1.8	6.65	0.318	0.301
-0.42	5.52	6.5	1.97	1.91	6.3	0.338	0.315
-1.3	5.63	4.5	1.8	1.83	5.11	0.37	0.367
