WAR	BB/9	K/9	hr/9	fip	whip	bipa	피안타율
11.79	1.77	10.09	0.15	0.85	1.26	0.269	0.187
7.55	1.88	4.12	0.12	1.04	2.37	0.271	0.243
7.34	1.9	6.85	0.26	1.04	2.7	0.28	0.229
7.19	1.92	5.07	0.31	0.97	2.45	0.248	0.217
6.78	2.06	8.04	0.52	1.24	2.52	0.326	0.263
6.75	3.73	6.04	0.31	1.09	2.69	0.272	0.231
6.51	2.2	6.38	0.73	1.16	3.21	0.297	0.257
6.07	1.9	4.61	0.41	1.22	3.55	0.23	0.209
5.87	1.49	3.97	0.6	0.99	3.01	0.268	0.252
5.76	2.78	7.28	0.29	1.06	3.41	0.241	0.193
5.76	2.78	7.28	0.29	1.06	3.41	0.241	0.193
5.76	2.78	7.28	0.29	1.06	3.41	0.241	0.193
5.72	4.1	4.1	0.08	1.06	3.25	0.213	0.187
5.36	1.94	6.9	0.47	1.12	3.36	0.272	0.227
5.23	2.17	5.06	0.48	1.2	3.12	0.238	0.213
5.15	2.25	4.09	0.61	1.05	2.87	0.294	0.274
5.0	3.33	6.31	0.35	1.21	2.52	0.297	0.25
4.82	3.8	7.99	0.57	1.11	2.57	0.298	0.241
4.75	2.46	4.09	0.21	1.24	4.25	0.247	0.221
4.6	4.31	9.52	0.6	1.27	2.97	0.277	0.209
4.44	3.52	4.81	0.24	1.5	4.42	0.279	0.246
4.38	4.0	10.83	0.83	1.19	3.61	0.316	0.237
4.38	4.0	10.83	0.83	1.19	3.61	0.316	0.237
4.38	4.0	10.83	0.83	1.19	3.61	0.316	0.237
4.11	3.52	5.02	0.16	1.08	3.4	0.276	0.239
4.08	2.02	4.24	0.52	1.22	2.89	0.291	0.269
3.98	3.31	5.07	0.31	1.21	3.64	0.281	0.247
3.93	4.29	6.2	0.18	1.1	2.14	0.282	0.234
3.75	2.26	8.09	0.84	1.29	3.79	0.248	0.206
3.74	5.29	5.82	0.0	1.23	3.24	0.316	0.261
3.68	3.01	6.02	0.44	1.22	3.04	0.193	0.17
3.6	3.0	6.44	0.44	1.23	2.97	0.285	0.239
3.6	2.59	4.24	0.44	1.3	3.08	0.277	0.253
3.59	2.82	2.65	0.35	1.16	3.85	0.238	0.231
3.59	2.82	2.65	0.35	1.16	3.85	0.238	0.231
3.59	2.82	2.65	0.35	1.16	3.85	0.238	0.231
3.57	3.35	8.61	0.73	1.24	2.47	0.248	0.199
3.4	2.78	5.51	0.38	1.14	3.78	0.3	0.262
3.37	3.05	5.26	0.53	0.91	3.03	0.263	0.234
3.2	3.69	5.88	0.5	1.34	3.3	0.281	0.244
3.19	2.09	6.28	0.68	1.29	4.38	0.264	0.23
3.06	1.9	3.1	0.47	1.19	3.49	0.265	0.252
3.0	2.75	5.94	0.44	0.98	2.67	0.285	0.245
2.96	1.58	4.33	0.71	1.32	3.42	0.261	0.243
2.9	5.4	7.2	0.26	1.15	4.26	0.31	0.248
2.89	2.6	5.3	0.51	1.29	3.32	0.313	0.28
2.89	2.6	5.3	0.51	1.29	3.32	0.313	0.28
2.89	2.6	5.3	0.51	1.29	3.32	0.313	0.28
2.84	2.13	3.73	0.36	1.21	3.54	0.324	0.298
2.84	2.35	2.94	0.33	1.08	3.07	0.297	0.278
2.81	2.82	4.01	0.59	1.07	3.18	0.386	0.355
2.76	5.7	3.75	0.0	1.34	3.01	0.262	0.233
2.75	3.17	6.15	0.64	1.22	4.01	0.244	0.214
2.52	2.31	5.6	0.61	1.04	3.62	0.258	0.229
2.38	2.27	2.5	0.45	1.32	3.96	0.31	0.303
2.19	2.96	6.2	0.56	1.39	3.97	0.236	0.207
2.13	3.23	4.72	0.35	1.38	3.41	0.301	0.271
2.11	3.32	2.97	0.42	1.39	4.09	0.287	0.275
2.11	3.32	2.97	0.42	1.39	4.09	0.287	0.275
2.11	3.32	2.97	0.42	1.39	4.09	0.287	0.275
2.11	3.46	3.59	0.44	1.23	4.26	0.273	0.254
2.05	3.41	5.29	0.45	1.3	2.91	0.283	0.249
2.04	6.39	8.74	0.45	1.2	3.03	0.262	0.204
2.01	3.59	4.58	0.5	1.09	3.73	0.282	0.257
2.01	2.5	3.55	0.52	1.41	3.42	0.26	0.247
2.0	3.38	3.05	0.66	1.33	2.97	0.253	0.246
1.99	3.46	5.31	0.46	1.33	3.47	0.317	0.282
1.96	1.3	2.77	0.68	1.43	3.85	0.287	0.279
1.9	3.43	6.29	0.77	1.26	3.78	0.266	0.234
1.89	2.76	3.66	0.9	1.45	3.83	0.282	0.275
1.89	2.76	3.66	0.9	1.45	3.83	0.282	0.275
1.89	2.76	3.66	0.9	1.45	3.83	0.282	0.275
1.88	3.79	3.5	0.68	1.22	4.59	0.29	0.278
1.87	2.51	3.04	0.41	1.3	3.45	0.259	0.246
1.76	1.9	5.06	0.7	1.28	2.8	0.246	0.226
1.74	4.38	3.07	0.47	0.97	2.53	0.243	0.232
